token,exchange,symbol
849988,BSE_FO,CAMS
833589,BSE_FO,CANBK
870240,BSE_FO,CANBK
851708,BSE_FO,CANBK
836067,BSE_FO,CONCOR
866091,BSE_FO,CONCOR
853962,BSE_FO,CONCOR
827882,BSE_FO,CDSL
844585,BSE_FO,CDSL
862581,BSE_FO,CDSL
833565,BSE_FO,CESC
833601,BSE_FO,CROMPTON
870251,BSE_FO,CROMPTON
851724,BSE_FO,CROMPTON
835349,BSE_FO,CGPOWER
871845,BSE_FO,CGPOWER
853307,BSE_FO,CGPOWER
835481,BSE_FO,CHOLAFIN
865574,BSE_FO,CHOLAFIN
853421,BSE_FO,CHOLAFIN
833823,BSE_FO,CIPLA
870451,BSE_FO,CIPLA
851927,BSE_FO,CIPLA
832101,BSE_FO,COALINDIA
868841,BSE_FO,COALINDIA
850346,BSE_FO,COALINDIA
836457,BSE_FO,COLPAL
866451,BSE_FO,COLPAL
854339,BSE_FO,COLPAL
835070,BSE_FO,CUMMINSIND
871554,BSE_FO,CUMMINSIND
853020,BSE_FO,CUMMINSIND
836887,BSE_FO,CYIENT
866865,BSE_FO,CYIENT
854764,BSE_FO,CYIENT
837862,BSE_FO,DALBHARAT
867812,BSE_FO,DALBHARAT
849318,BSE_FO,DALBHARAT
837702,BSE_FO,DABUR
867636,BSE_FO,DABUR
849159,BSE_FO,DABUR
833185,BSE_FO,DELHIVERY
869859,BSE_FO,DELHIVERY
851327,BSE_FO,DELHIVERY
834150,BSE_FO,DIVISLAB
870759,BSE_FO,DIVISLAB
852199,BSE_FO,DIVISLAB
831966,BSE_FO,DIXON
868730,BSE_FO,DIXON
850228,BSE_FO,DIXON
837850,BSE_FO,DLF
867799,BSE_FO,DLF
849304,BSE_FO,DLF
837710,BSE_FO,DRREDDY
867658,BSE_FO,DRREDDY
849180,BSE_FO,DRREDDY
832330,BSE_FO,EICHERMOT
869052,BSE_FO,EICHERMOT
850568,BSE_FO,EICHERMOT
834332,BSE_FO,EXIDEIND
870918,BSE_FO,EXIDEIND
852361,BSE_FO,EXIDEIND
832428,BSE_FO,FEDERALBNK
869179,BSE_FO,FEDERALBNK
850669,BSE_FO,FEDERALBNK
838182,BSE_FO,FORTIS
868128,BSE_FO,FORTIS
849612,BSE_FO,FORTIS
836187,BSE_FO,GAIL
866213,BSE_FO,GAIL
854062,BSE_FO,GAIL
832618,BSE_FO,GODREJCP
869365,BSE_FO,GODREJCP
850846,BSE_FO,GODREJCP
832643,BSE_FO,GLENMARK
869389,BSE_FO,GLENMARK
850865,BSE_FO,GLENMARK
836799,BSE_FO,GMRAIRPORT
866776,BSE_FO,GMRAIRPORT
854669,BSE_FO,GMRAIRPORT
833283,BSE_FO,HFCL
835740,BSE_FO,GODREJPROP
865791,BSE_FO,GODREJPROP
853648,BSE_FO,GODREJPROP
831778,BSE_FO,GRANULES
835761,BSE_FO,GRASIM
865808,BSE_FO,GRASIM
853668,BSE_FO,GRASIM
837025,BSE_FO,HAVELLS
867000,BSE_FO,HAVELLS
854888,BSE_FO,HAVELLS
831790,BSE_FO,HDFCAMC
868541,BSE_FO,HDFCAMC
850061,BSE_FO,HDFCAMC
835298,BSE_FO,HCLTECH
871786,BSE_FO,HCLTECH
853244,BSE_FO,HCLTECH
833265,BSE_FO,HDFCBANK
869942,BSE_FO,HDFCBANK
851408,BSE_FO,HDFCBANK
836483,BSE_FO,HDFCLIFE
866474,BSE_FO,HDFCLIFE
854366,BSE_FO,HDFCLIFE
832393,BSE_FO,HEROMOTOCO
869122,BSE_FO,HEROMOTOCO
850619,BSE_FO,HEROMOTOCO
869956,BSE_FO,HFCL
851424,BSE_FO,HFCL
835636,BSE_FO,HAL
865693,BSE_FO,HAL
853547,BSE_FO,HAL
835233,BSE_FO,HINDALCO
871723,BSE_FO,HINDALCO
853188,BSE_FO,HINDALCO
834176,BSE_FO,HINDZINC
870784,BSE_FO,HINDZINC
852226,BSE_FO,HINDZINC
832530,BSE_FO,HINDPETRO
869280,BSE_FO,HINDPETRO
850748,BSE_FO,HINDPETRO
833863,BSE_FO,HUDCO
870493,BSE_FO,HUDCO
851965,BSE_FO,HUDCO
832808,BSE_FO,HINDUNILVR
869531,BSE_FO,HINDUNILVR
851009,BSE_FO,HINDUNILVR
833473,BSE_FO,ICICIBANK
870118,BSE_FO,ICICIBANK
851604,BSE_FO,ICICIBANK
835052,BSE_FO,ICICIPRULI
871538,BSE_FO,ICICIPRULI
852999,BSE_FO,ICICIPRULI
834534,BSE_FO,IDFCFIRSTB
871107,BSE_FO,IDFCFIRSTB
852537,BSE_FO,IDFCFIRSTB
834231,BSE_FO,IDEA
870826,BSE_FO,IDEA
852276,BSE_FO,IDEA
835201,BSE_FO,IEX
871686,BSE_FO,IEX
853149,BSE_FO,IEX
834140,BSE_FO,INDUSINDBK
870750,BSE_FO,INDUSINDBK
852188,BSE_FO,INDUSINDBK
832194,BSE_FO,IIFL
